#Top: ios   Floorplan: io_1   Part: xc7a35tcsg324-2,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: ParsaMalekpour   on: Tue Jun 30 13:17:30 2026,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2019.1   by: xbuild   on: Fri May 24 14:49:42 MDT 2019,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Average Trace Delay,,,,,,,,,,,,,,,,,,,
34,R2,IOB_X1Y19,IO_L15N_T2_DQS_34,63.248,63.884,63.566,,,,,,,,,,,,,,,,,,,
34,M4,IOB_X1Y18,IO_L16P_T2_34,53.065,53.598,53.3315,,,,,,,,,,,,,,,,,,,
34,N4,IOB_X1Y17,IO_L16N_T2_34,51.941,52.463,52.202,,,,,,,,,,,,,,,,,,,
34,R1,IOB_X1Y16,IO_L17P_T2_34,61.894,62.516,62.205,,,,,,,,,,,,,,,,,,,
34,T1,IOB_X1Y15,IO_L17N_T2_34,61.335,61.951,61.643,,,,,,,,,,,,,,,,,,,
34,M6,IOB_X1Y14,IO_L18P_T2_34,58.201,58.786,58.4935,,,,,,,,,,,,,,,,,,,
34,N6,IOB_X1Y13,IO_L18N_T2_34,53.262,53.798,53.53,,,,,,,,,,,,,,,,,,,
34,R6,IOB_X1Y12,IO_L19P_T3_34,68.134,68.819,68.4765,,,,,,,,,,,,,,,,,,,
34,R5,IOB_X1Y11,IO_L19N_T3_VREF_34,64.182,64.827,64.5045,,,,,,,,,,,,,,,,,,,
34,V7,IOB_X1Y10,IO_L20P_T3_34,84.331,85.179,84.755,,,,,,,,,,,,,,,,,,,
34,V6,IOB_X1Y9,IO_L20N_T3_34,81.244,82.06,81.652,,,,,,,,,,,,,,,,,,,
34,U9,IOB_X1Y8,IO_L21P_T3_DQS_34,82.089,82.914,82.5015,,,,,,,,,,,,,,,,,,,
34,V9,IOB_X1Y7,IO_L21N_T3_DQS_34,75.158,75.913,75.5355,,,,,,,,,,,,,,,,,,,
34,U7,IOB_X1Y6,IO_L22P_T3_34,77.679,78.46,78.0695,,,,,,,,,,,,,,,,,,,
34,U6,IOB_X1Y5,IO_L22N_T3_34,76.519,77.288,76.9035,,,,,,,,,,,,,,,,,,,
34,R7,IOB_X1Y4,IO_L23P_T3_34,74.536,75.285,74.9105,,,,,,,,,,,,,,,,,,,
34,T6,IOB_X1Y3,IO_L23N_T3_34,73.86,74.602,74.231,,,,,,,,,,,,,,,,,,,
34,R8,IOB_X1Y2,IO_L24P_T3_34,66.921,67.594,67.2575,,,,,,,,,,,,,,,,,,,
34,T8,IOB_X1Y1,IO_L24N_T3_34,62.528,63.156,62.842,,,,,,,,,,,,,,,,,,,
